 H: 2.31deg  R: -0.69deg  P: 110.06deg  aX: 0.01m/s2  aY: -9.32m/s2  aZ: -3.11m/s2 
 H: 2.31deg  R: -0.69deg  P: 110.06deg  aX: -0.21m/s2  aY: -9.28m/s2  aZ: -3.39m/s2 
 H: 2.19deg  R: -0.75deg  P: 110.13deg  aX: -0.12m/s2  aY: -9.26m/s2  aZ: -3.36m/s2 
 H: 2.19deg  R: -0.75deg  P: 110.19deg  aX: -0.19m/s2  aY: -9.31m/s2  aZ: -3.31m/s2 
 H: 2.19deg  R: -0.75deg  P: 110.19deg  aX: -0.06m/s2  aY: -9.15m/s2  aZ: -3.14m/s2 
 H: 2.25deg  R: -0.75deg  P: 110.25deg  aX: -0.06m/s2  aY: -9.50m/s2  aZ: -3.45m/s2 
 H: 2.25deg  R: -0.75deg  P: 110.31deg  aX: -0.20m/s2  aY: -9.23m/s2  aZ: -3.35m/s2 
 H: 2.19deg  R: -0.81deg  P: 110.38deg  aX: 0.05m/s2  aY: -9.36m/s2  aZ: -3.20m/s2 
 H: 2.19deg  R: -0.81deg  P: 110.44deg  aX: -0.20m/s2  aY: -9.13m/s2  aZ: -3.51m/s2 
 H: 2.19deg  R: -0.81deg  P: 110.50deg  aX: -0.10m/s2  aY: -9.28m/s2  aZ: -3.29m/s2 
 H: 2.19deg  R: -0.81deg  P: 110.50deg  aX: -0.18m/s2  aY: -8.98m/s2  aZ: -3.51m/s2 
 H: 2.19deg  R: -0.75deg  P: 110.56deg  aX: 0.01m/s2  aY: -9.43m/s2  aZ: -3.25m/s2 
 H: 2.19deg  R: -0.75deg  P: 110.56deg  aX: -0.29m/s2  aY: -9.26m/s2  aZ: -3.40m/s2 
 H: 2.19deg  R: -0.69deg  P: 110.63deg  aX: -0.12m/s2  aY: -9.21m/s2  aZ: -3.44m/s2 
 H: 2.25deg  R: -0.63deg  P: 110.63deg  aX: -0.21m/s2  aY: -9.03m/s2  aZ: -3.27m/s2 
 H: 2.25deg  R: -0.56deg  P: 110.69deg  aX: 0.03m/s2  aY: -9.44m/s2  aZ: -3.51m/s2 
 H: 2.25deg  R: -0.50deg  P: 110.75deg  aX: -0.01m/s2  aY: -9.29m/s2  aZ: -3.44m/s2 
 H: 2.25deg  R: -0.50deg  P: 110.75deg  aX: -0.08m/s2  aY: -8.99m/s2  aZ: -3.28m/s2 
 H: 2.25deg  R: -0.44deg  P: 110.81deg  aX: -0.01m/s2  aY: -9.17m/s2  aZ: -3.53m/s2 
 H: 2.25deg  R: -0.38deg  P: 110.81deg  aX: 0.03m/s2  aY: -9.63m/s2  aZ: -3.43m/s2 
 H: 2.19deg  R: -0.38deg  P: 110.81deg  aX: 0.00m/s2  aY: -9.28m/s2  aZ: -3.27m/s2 
 H: 2.13deg  R: -0.44deg  P: 110.88deg  aX: 0.09m/s2  aY: -8.81m/s2  aZ: -3.43m/s2 
 H: 2.06deg  R: -0.44deg  P: 110.88deg  aX: 0.00m/s2  aY: -9.14m/s2  aZ: -3.43m/s2 
 H: 1.94deg  R: -0.50deg  P: 110.88deg  aX: -0.06m/s2  aY: -9.28m/s2  aZ: -3.58m/s2 
 H: 1.88deg  R: -0.50deg  P: 110.88deg  aX: 0.00m/s2  aY: -9.31m/s2  aZ: -3.44m/s2 
 H: 1.81deg  R: -0.56deg  P: 110.81deg  aX: -0.08m/s2  aY: -9.38m/s2  aZ: -3.50m/s2 
 H: 1.75deg  R: -0.56deg  P: 110.81deg  aX: -0.09m/s2  aY: -9.64m/s2  aZ: -3.47m/s2 
 H: 1.69deg  R: -0.63deg  P: 110.75deg  aX: -0.09m/s2  aY: -8.90m/s2  aZ: -3.44m/s2 
 H: 1.56deg  R: -0.69deg  P: 110.69deg  aX: -0.07m/s2  aY: -9.31m/s2  aZ: -3.36m/s2 
 H: 1.63deg  R: -0.69deg  P: 110.69deg  aX: -0.13m/s2  aY: -9.51m/s2  aZ: -3.42m/s2 
 H: 1.56deg  R: -0.69deg  P: 110.63deg  aX: -0.19m/s2  aY: -9.22m/s2  aZ: -3.57m/s2 
 H: 1.44deg  R: -0.75deg  P: 110.63deg  aX: -0.07m/s2  aY: -8.86m/s2  aZ: -3.34m/s2 
 H: 1.44deg  R: -0.69deg  P: 110.56deg  aX: -0.19m/s2  aY: -8.93m/s2  aZ: -3.40m/s2 
 H: 1.50deg  R: -0.69deg  P: 110.56deg  aX: -0.11m/s2  aY: -9.23m/s2  aZ: -3.35m/s2 
 H: 1.50deg  R: -0.63deg  P: 110.56deg  aX: 0.06m/s2  aY: -9.46m/s2  aZ: -3.32m/s2 
 H: 1.56deg  R: -0.63deg  P: 110.50deg  aX: -0.02m/s2  aY: -9.27m/s2  aZ: -3.37m/s2 
 H: 1.56deg  R: -0.56deg  P: 110.50deg  aX: 0.00m/s2  aY: -9.29m/s2  aZ: -3.33m/s2 
 H: 1.56deg  R: -0.56deg  P: 110.50deg  aX: -0.08m/s2  aY: -9.06m/s2  aZ: -3.23m/s2 
 H: 1.63deg  R: -0.56deg  P: 110.50deg  aX: -0.12m/s2  aY: -8.85m/s2  aZ: -3.35m/s2 
 H: 1.63deg  R: -0.56deg  P: 110.50deg  aX: -0.07m/s2  aY: -8.84m/s2  aZ: -3.42m/s2 
 H: 1.69deg  R: -0.50deg  P: 110.56deg  aX: -0.24m/s2  aY: -9.14m/s2  aZ: -3.48m/s2 
 H: 1.69deg  R: -0.50deg  P: 110.63deg  aX: 0.26m/s2  aY: -9.25m/s2  aZ: -3.15m/s2 
 H: 1.81deg  R: -0.44deg  P: 110.63deg  aX: 0.02m/s2  aY: -9.35m/s2  aZ: -3.47m/s2 
 H: 1.81deg  R: -0.44deg  P: 110.75deg  aX: 0.08m/s2  aY: -9.46m/s2  aZ: -3.36m/s2 
 H: 1.88deg  R: -0.44deg  P: 110.75deg  aX: 0.01m/s2  aY: -8.83m/s2  aZ: -3.36m/s2 
 H: 1.81deg  R: -0.44deg  P: 110.81deg  aX: 0.26m/s2  aY: -8.83m/s2  aZ: -3.45m/s2 
 H: 1.94deg  R: -0.44deg  P: 110.81deg  aX: -0.11m/s2  aY: -9.55m/s2  aZ: -3.53m/s2 
 H: 1.94deg  R: -0.44deg  P: 110.88deg  aX: -0.32m/s2  aY: -9.41m/s2  aZ: -3.52m/s2 
 H: 1.88deg  R: -0.50deg  P: 110.94deg  aX: -0.04m/s2  aY: -8.97m/s2  aZ: -3.41m/s2 
 H: 2.00deg  R: -0.50deg  P: 110.94deg  aX: -0.12m/s2  aY: -9.44m/s2  aZ: -3.54m/s2 
 H: 1.94deg  R: -0.50deg  P: 110.94deg  aX: -0.02m/s2  aY: -9.27m/s2  aZ: -3.36m/s2 
 H: 1.94deg  R: -0.50deg  P: 110.94deg  aX: -0.14m/s2  aY: -9.32m/s2  aZ: -3.50m/s2 
 H: 2.00deg  R: -0.50deg  P: 111.00deg  aX: -0.18m/s2  aY: -9.18m/s2  aZ: -3.34m/s2 
 H: 2.00deg  R: -0.50deg  P: 111.00deg  aX: 0.16m/s2  aY: -9.01m/s2  aZ: -3.52m/s2 
 H: 2.06deg  R: -0.44deg  P: 111.00deg  aX: -0.26m/s2  aY: -9.28m/s2  aZ: -3.46m/s2 
 H: 2.13deg  R: -0.38deg  P: 111.00deg  aX: 0.07m/s2  aY: -9.29m/s2  aZ: -3.41m/s2 
 H: 2.13deg  R: -0.38deg  P: 111.00deg  aX: -0.05m/s2  aY: -9.36m/s2  aZ: -3.54m/s2 
 H: 2.19deg  R: -0.31deg  P: 111.00deg  aX: -0.07m/s2  aY: -9.03m/s2  aZ: -3.43m/s2 
 H: 2.19deg  R: -0.31deg  P: 111.00deg  aX: 0.12m/s2  aY: -9.20m/s2  aZ: -3.45m/s2 
 H: 2.25deg  R: -0.25deg  P: 111.00deg  aX: 0.00m/s2  aY: -9.48m/s2  aZ: -3.39m/s2 
 H: 2.25deg  R: -0.25deg  P: 111.00deg  aX: 0.04m/s2  aY: -8.97m/s2  aZ: -3.49m/s2 
 H: 2.25deg  R: -0.25deg  P: 111.00deg  aX: 0.00m/s2  aY: -8.99m/s2  aZ: -3.47m/s2 
 H: 2.25deg  R: -0.25deg  P: 110.94deg  aX: -0.06m/s2  aY: -8.98m/s2  aZ: -3.39m/s2 
 H: 2.31deg  R: -0.25deg  P: 110.94deg  aX: -0.04m/s2  aY: -9.50m/s2  aZ: -3.40m/s2 
 H: 2.31deg  R: -0.25deg  P: 110.94deg  aX: -0.15m/s2
