 H: 249.88deg  R: -6.25deg  P: 94.00deg  aX: -0.84m/s2  aY: -9.27m/s2  aZ: -0.70m/s2 
 H: 249.81deg  R: -6.25deg  P: 94.00deg  aX: -0.59m/s2  aY: -9.66m/s2  aZ: -0.54m/s2 
 H: 249.75deg  R: -6.25deg  P: 94.00deg  aX: -0.73m/s2  aY: -9.73m/s2  aZ: -0.55m/s2 
 H: 249.63deg  R: -6.31deg  P: 94.06deg  aX: -0.69m/s2  aY: -9.75m/s2  aZ: -0.48m/s2 
 H: 249.63deg  R: -6.31deg  P: 94.06deg  aX: -0.83m/s2  aY: -9.52m/s2  aZ: -0.70m/s2 
 H: 249.56deg  R: -6.38deg  P: 94.06deg  aX: -1.18m/s2  aY: -9.56m/s2  aZ: -0.50m/s2 
 H: 249.50deg  R: -6.44deg  P: 94.13deg  aX: -1.22m/s2  aY: -9.43m/s2  aZ: -0.68m/s2 
 H: 249.50deg  R: -6.44deg  P: 94.13deg  aX: -1.47m/s2  aY: -9.71m/s2  aZ: -0.71m/s2 
 H: 249.50deg  R: -6.44deg  P: 94.06deg  aX: -1.31m/s2  aY: -9.71m/s2  aZ: -0.72m/s2 
 H: 249.50deg  R: -6.44deg  P: 94.06deg  aX: -1.27m/s2  aY: -9.82m/s2  aZ: -0.69m/s2 
 H: 249.44deg  R: -6.50deg  P: 94.06deg  aX: -0.85m/s2  aY: -9.58m/s2  aZ: -0.74m/s2 
 H: 249.38deg  R: -6.56deg  P: 94.06deg  aX: -1.11m/s2  aY: -9.51m/s2  aZ: -0.72m/s2 
 H: 249.38deg  R: -6.56deg  P: 94.00deg  aX: -1.36m/s2  aY: -9.54m/s2  aZ: -0.61m/s2 
 H: 249.38deg  R: -6.56deg  P: 94.00deg  aX: -1.53m/s2  aY: -9.60m/s2  aZ: -0.62m/s2 
 H: 249.25deg  R: -6.56deg  P: 94.00deg  aX: -1.00m/s2  aY: -9.47m/s2  aZ: -0.41m/s2 
 H: 249.31deg  R: -6.56deg  P: 94.00deg  aX: -0.92m/s2  aY: -9.82m/s2  aZ: -0.67m/s2 
 H: 249.31deg  R: -6.56deg  P: 93.94deg  aX: -1.64m/s2  aY: -9.57m/s2  aZ: -0.70m/s2 
 H: 249.25deg  R: -6.56deg  P: 93.94deg  aX: -1.21m/s2  aY: -9.50m/s2  aZ: -0.42m/s2 
 H: 249.19deg  R: -6.56deg  P: 94.00deg  aX: -1.02m/s2  aY: -9.43m/s2  aZ: -0.65m/s2 
 H: 249.19deg  R: -6.56deg  P: 94.00deg  aX: -1.18m/s2  aY: -9.79m/s2  aZ: -0.55m/s2 
 H: 249.13deg  R: -6.63deg  P: 94.06deg  aX: -0.98m/s2  aY: -9.66m/s2  aZ: -0.73m/s2 
 H: 249.13deg  R: -6.63deg  P: 94.13deg  aX: -1.26m/s2  aY: -9.72m/s2  aZ: -0.66m/s2 
 H: 249.06deg  R: -6.63deg  P: 94.06deg  aX: -1.39m/s2  aY: -9.56m/s2  aZ: -0.73m/s2 
 H: 249.06deg  R: -6.63deg  P: 94.06deg  aX: -1.41m/s2  aY: -9.65m/s2  aZ: -0.71m/s2 
 H: 249.00deg  R: -6.63deg  P: 94.06deg  aX: -1.56m/s2  aY: -9.58m/s2  aZ: -0.55m/s2 
 H: 248.94deg  R: -6.63deg  P: 94.06deg  aX: -0.63m/s2  aY: -9.63m/s2  aZ: -0.64m/s2 
 H: 248.88deg  R: -6.63deg  P: 94.13deg  aX: -0.77m/s2  aY: -9.71m/s2  aZ: -0.51m/s2 
 H: 248.88deg  R: -6.56deg  P: 94.13deg  aX: -0.83m/s2  aY: -9.74m/s2  aZ: -0.69m/s2 
 H: 248.94deg  R: -6.56deg  P: 94.06deg  aX: -0.78m/s2  aY: -9.83m/s2  aZ: -0.69m/s2 
 H: 248.94deg  R: -6.56deg  P: 94.06deg  aX: -1.02m/s2  aY: -9.37m/s2  aZ: -0.51m/s2 
 H: 248.94deg  R: -6.56deg  P: 94.06deg  aX: -1.31m/s2  aY: -9.81m/s2  aZ: -0.45m/s2 
 H: 249.00deg  R: -6.50deg  P: 94.06deg  aX: -1.90m/s2  aY: -9.39m/s2  aZ: -0.83m/s2 
 H: 249.00deg  R: -6.50deg  P: 94.13deg  aX: -1.87m/s2  aY: -9.43m/s2  aZ: -0.75m/s2 
 H: 248.94deg  R: -6.50deg  P: 94.13deg  aX: -1.63m/s2  aY: -9.64m/s2  aZ: -0.50m/s2 
 H: 248.94deg  R: -6.44deg  P: 94.19deg  aX: -0.98m/s2  aY: -9.37m/s2  aZ: -0.71m/s2 
 H: 249.06deg  R: -6.31deg  P: 94.19deg  aX: -1.08m/s2  aY: -9.80m/s2  aZ: -0.70m/s2 
 H: 249.13deg  R: -6.25deg  P: 94.25deg  aX: -0.95m/s2  aY: -9.79m/s2  aZ: -0.68m/s2 
 H: 249.13deg  R: -6.19deg  P: 94.25deg  aX: -0.79m/s2  aY: -9.40m/s2  aZ: -0.59m/s2 
 H: 249.13deg  R: -6.13deg  P: 94.31deg  aX: -0.27m/s2  aY: -9.47m/s2  aZ: -0.43m/s2 
 H: 249.19deg  R: -6.13deg  P: 94.31deg  aX: -0.76m/s2  aY: -9.70m/s2  aZ: -0.76m/s2 
 H: 249.44deg  R: -5.94deg  P: 94.38deg  aX: -1.51m/s2  aY: -9.79m/s2  aZ: -0.75m/s2 
 H: 249.44deg  R: -5.94deg  P: 94.44deg  aX: -0.95m/s2  aY: -9.45m/s2  aZ: -0.67m/s2 
 H: 249.44deg  R: -5.94deg  P: 94.50deg  aX: -1.06m/s2  aY: -9.42m/s2  aZ: -0.56m/s2 
 H: 249.50deg  R: -5.94deg  P: 94.56deg  aX: -1.19m/s2  aY: -9.85m/s2  aZ: -0.70m/s2 
 H: 249.50deg  R: -5.94deg  P: 94.63deg  aX: -0.83m/s2  aY: -9.55m/s2  aZ: -0.89m/s2 
 H: 249.44deg  R: -6.00deg  P: 94.69deg  aX: -0.80m/s2  aY: -9.30m/s2  aZ: -0.80m/s2 
 H: 249.38deg  R: -6.00deg  P: 94.69deg  aX: -0.87m/s2  aY: -9.80m/s2  aZ: -0.79m/s2 
 H: 249.31deg  R: -6.06deg  P: 94.81deg  aX: -0.43m/s2  aY: -9.88m/s2  aZ: -0.79m/s2 
 H: 249.25deg  R: -6.19deg  P: 94.88deg  aX: -0.52m/s2  aY: -9.48m/s2  aZ: -0.50m/s2 
 H: 249.25deg  R: -6.31deg  P: 94.94deg  aX: -0.51m/s2  aY: -9.55m/s2  aZ: -0.82m/s2 
 H: 249.25deg  R: -6.38deg  P: 95.00deg  aX: -1.44m/s2  aY: -9.53m/s2  aZ: -0.77m/s2 
 H: 249.25deg  R: -6.50deg  P: 95.00deg  aX: -1.71m/s2  aY: -9.92m/s2  aZ: -1.02m/s2 
 H: 249.19deg  R: -6.56deg  P: 95.06deg  aX: -2.16m/s2  aY: -9.56m/s2  aZ: -0.85m/s2 
 H: 249.06deg  R: -6.69deg  P: 95.13deg  aX: -1.48m/s2  aY: -9.29m/s2  aZ: -0.72m/s2 
 H: 249.00deg  R: -6.69deg  P: 95.25deg  aX: -1.26m/s2  aY: -9.63m/s2  aZ: -0.70m/s2 
 H: 249.00deg  R: -6.69deg  P: 95.31deg  aX: -1.64m/s2  aY: -9.45m/s2  aZ: -0.69m/s2 
 H: 249.00deg  R: -6.69deg  P: 95.38deg  aX: -1.36m/s2  aY: -9.05m/s2  aZ: -0.91m/s2 
 H: 248.88deg  R: -6.75deg  P: 95.50deg  aX: -0.42m/s2  aY: -9.80m/s2  aZ: -0.65m/s2 
 H: 248.88deg  R: -6.75deg  P: 95.56deg  aX: -0.80m/s2  aY: -9.81m/s2  aZ: -0.82m/s2 
 H: 248.94deg  R: -6.69deg  P: 95.69deg  aX: -0.80m/s2  aY: -9.72m/s2  aZ: -1.28m/s2 
 H: 249.06deg  R: -6.69deg  P: 95.81deg  aX: -1.23m/s2  aY: -9.72m/s2  aZ: -1.03m/s2 
 H: 249.13deg  R: -6.63deg  P: 95.88deg  aX: -1.56m/s2  aY: -9.60m/s2  aZ: -0.99m/s2 
 H: 249.13deg  R: -6.63deg  P: 95.88deg  aX: -1.60m/s2  aY: -9.23m/s2  aZ: -0.90m/s2 
