 H: 11.06deg  R: -0.69deg  P: 109.94deg  aX: -0.04m/s2  aY: -9.71m/s2  aZ: -3.27m/s2 
 H: 11.13deg  R: -0.69deg  P: 109.94deg  aX: -0.26m/s2  aY: -9.63m/s2  aZ: -3.39m/s2 
 H: 11.19deg  R: -0.63deg  P: 109.88deg  aX: -0.33m/s2  aY: -8.99m/s2  aZ: -3.32m/s2 
 H: 11.19deg  R: -0.63deg  P: 109.88deg  aX: -0.32m/s2  aY: -9.39m/s2  aZ: -3.43m/s2 
 H: 11.25deg  R: -0.63deg  P: 109.75deg  aX: 0.04m/s2  aY: -9.39m/s2  aZ: -3.14m/s2 
 H: 11.31deg  R: -0.56deg  P: 109.75deg  aX: -0.27m/s2  aY: -9.46m/s2  aZ: -3.59m/s2 
 H: 11.38deg  R: -0.56deg  P: 109.69deg  aX: -0.15m/s2  aY: -9.57m/s2  aZ: -3.18m/s2 
 H: 11.31deg  R: -0.56deg  P: 109.63deg  aX: -0.36m/s2  aY: -9.21m/s2  aZ: -3.29m/s2 
 H: 11.31deg  R: -0.63deg  P: 109.56deg  aX: -0.40m/s2  aY: -9.32m/s2  aZ: -3.42m/s2 
 H: 11.31deg  R: -0.63deg  P: 109.50deg  aX: -0.03m/s2  aY: -9.59m/s2  aZ: -3.30m/s2 
 H: 11.44deg  R: -0.56deg  P: 109.38deg  aX: -0.11m/s2  aY: -9.58m/s2  aZ: -3.18m/s2 
 H: 11.44deg  R: -0.56deg  P: 109.31deg  aX: -0.18m/s2  aY: -9.30m/s2  aZ: -3.13m/s2 
 H: 11.44deg  R: -0.50deg  P: 109.31deg  aX: -0.13m/s2  aY: -9.54m/s2  aZ: -3.30m/s2 
 H: 11.50deg  R: -0.50deg  P: 109.31deg  aX: -0.04m/s2  aY: -9.52m/s2  aZ: -3.25m/s2 
 H: 11.56deg  R: -0.44deg  P: 109.25deg  aX: -0.26m/s2  aY: -9.32m/s2  aZ: -3.25m/s2 
 H: 11.50deg  R: -0.44deg  P: 109.25deg  aX: 0.07m/s2  aY: -9.51m/s2  aZ: -2.96m/s2 
 H: 11.50deg  R: -0.38deg  P: 109.25deg  aX: -0.16m/s2  aY: -9.43m/s2  aZ: -3.16m/s2 
 H: 11.56deg  R: -0.38deg  P: 109.31deg  aX: -0.08m/s2  aY: -9.58m/s2  aZ: -3.29m/s2 
 H: 11.56deg  R: -0.31deg  P: 109.31deg  aX: -0.12m/s2  aY: -9.27m/s2  aZ: -3.08m/s2 
 H: 11.50deg  R: -0.38deg  P: 109.38deg  aX: -0.22m/s2  aY: -9.18m/s2  aZ: -3.34m/s2 
 H: 11.50deg  R: -0.38deg  P: 109.44deg  aX: 0.11m/s2  aY: -9.49m/s2  aZ: -3.05m/s2 
 H: 11.56deg  R: -0.31deg  P: 109.50deg  aX: -0.29m/s2  aY: -9.29m/s2  aZ: -3.15m/s2 
 H: 11.56deg  R: -0.38deg  P: 109.56deg  aX: -0.21m/s2  aY: -9.38m/s2  aZ: -3.25m/s2 
 H: 11.63deg  R: -0.38deg  P: 109.63deg  aX: 0.02m/s2  aY: -9.55m/s2  aZ: -3.16m/s2 
 H: 11.75deg  R: -0.38deg  P: 109.75deg  aX: -0.23m/s2  aY: -9.27m/s2  aZ: -3.38m/s2 
 H: 11.81deg  R: -0.38deg  P: 109.81deg  aX: -0.16m/s2  aY: -9.24m/s2  aZ: -3.48m/s2 
 H: 11.75deg  R: -0.44deg  P: 109.94deg  aX: -0.01m/s2  aY: -9.49m/s2  aZ: -3.37m/s2 
 H: 11.69deg  R: -0.50deg  P: 110.00deg  aX: -0.15m/s2  aY: -9.74m/s2  aZ: -3.23m/s2 
 H: 11.56deg  R: -0.63deg  P: 110.06deg  aX: -0.16m/s2  aY: -9.38m/s2  aZ: -3.36m/s2 
 H: 11.56deg  R: -0.63deg  P: 110.13deg  aX: -0.39m/s2  aY: -9.52m/s2  aZ: -3.55m/s2 
 H: 11.44deg  R: -0.69deg  P: 110.19deg  aX: -0.23m/s2  aY: -9.30m/s2  aZ: -3.48m/s2 
 H: 11.38deg  R: -0.75deg  P: 110.19deg  aX: -0.52m/s2  aY: -9.32m/s2  aZ: -3.71m/s2 
 H: 11.31deg  R: -0.75deg  P: 110.19deg  aX: -0.08m/s2  aY: -9.60m/s2  aZ: -3.35m/s2 
 H: 11.38deg  R: -0.69deg  P: 110.13deg  aX: -0.43m/s2  aY: -9.12m/s2  aZ: -3.68m/s2 
 H: 11.44deg  R: -0.63deg  P: 110.13deg  aX: -0.16m/s2  aY: -9.43m/s2  aZ: -3.38m/s2 
 H: 11.50deg  R: -0.63deg  P: 110.06deg  aX: -0.04m/s2  aY: -9.61m/s2  aZ: -3.16m/s2 
 H: 11.50deg  R: -0.56deg  P: 110.00deg  aX: -0.38m/s2  aY: -9.26m/s2  aZ: -3.43m/s2 
 H: 11.50deg  R: -0.56deg  P: 110.00deg  aX: -0.04m/s2  aY: -9.41m/s2  aZ: -3.20m/s2 
 H: 11.50deg  R: -0.56deg  P: 109.94deg  aX: -0.16m/s2  aY: -9.38m/s2  aZ: -3.40m/s2 
 H: 11.56deg  R: -0.56deg  P: 109.88deg  aX: -0.21m/s2  aY: -9.60m/s2  aZ: -3.23m/s2 
 H: 11.56deg  R: -0.56deg  P: 109.81deg  aX: -0.20m/s2  aY: -9.64m/s2  aZ: -3.32m/s2 
 H: 11.56deg  R: -0.56deg  P: 109.81deg  aX: -0.16m/s2  aY: -9.21m/s2  aZ: -3.25m/s2 
 H: 11.56deg  R: -0.56deg  P: 109.75deg  aX: -0.22m/s2  aY: -9.27m/s2  aZ: -3.32m/s2 
 H: 11.63deg  R: -0.50deg  P: 109.75deg  aX: -0.08m/s2  aY: -9.38m/s2  aZ: -3.22m/s2 
 H: 11.63deg  R: -0.50deg  P: 109.75deg  aX: -0.25m/s2  aY: -9.25m/s2  aZ: -3.33m/s2 
 H: 11.69deg  R: -0.44deg  P: 109.69deg  aX: -0.02m/s2  aY: -9.61m/s2  aZ: -3.32m/s2 
 H: 11.75deg  R: -0.38deg  P: 109.75deg  aX: 0.02m/s2  aY: -9.83m/s2  aZ: -3.18m/s2 
 H: 11.75deg  R: -0.38deg  P: 109.75deg  aX: -0.23m/s2  aY: -9.22m/s2  aZ: -3.48m/s2 
 H: 11.75deg  R: -0.38deg  P: 109.75deg  aX: -0.18m/s2  aY: -9.10m/s2  aZ: -3.26m/s2 
 H: 11.81deg  R: -0.31deg  P: 109.75deg  aX: -0.10m/s2  aY: -9.54m/s2  aZ: -3.36m/s2 
 H: 11.81deg  R: -0.31deg  P: 109.81deg  aX: 0.12m/s2  aY: -9.77m/s2  aZ: -3.21m/s2 
 H: 11.81deg  R: -0.38deg  P: 109.81deg  aX: -0.18m/s2  aY: -9.38m/s2  aZ: -3.37m/s2 
 H: 11.75deg  R: -0.38deg  P: 109.81deg  aX: -0.09m/s2  aY: -9.37m/s2  aZ: -3.24m/s2 
 H: 11.75deg  R: -0.38deg  P: 109.81deg  aX: -0.32m/s2  aY: -9.17m/s2  aZ: -3.48m/s2 
 H: 11.75deg  R: -0.44deg  P: 109.81deg  aX: -0.22m/s2  aY: -9.55m/s2  aZ: -3.37m/s2 
 H: 11.69deg  R: -0.44deg  P: 109.88deg  aX: -0.10m/s2  aY: -9.64m/s2  aZ: -3.21m/s2 
 H: 11.63deg  R: -0.50deg  P: 109.88deg  aX: -0.22m/s2  aY: -9.60m/s2  aZ: -3.26m/s2 
 H: 11.50deg  R: -0.56deg  P: 109.88deg  aX: -0.07m/s2  aY: -9.49m/s2  aZ: -3.37m/s2 
