 H: 88.38deg  R: -21.44deg  P: -23.69deg  aX: -3.03m/s2  aY: 4.43m/s2  aZ: 8.01m/s2 
 H: 88.38deg  R: -21.50deg  P: -23.19deg  aX: -3.03m/s2  aY: 3.93m/s2  aZ: 8.19m/s2 
 H: 88.50deg  R: -21.56deg  P: -22.88deg  aX: -3.20m/s2  aY: 4.04m/s2  aZ: 7.68m/s2 
 H: 88.56deg  R: -21.63deg  P: -22.69deg  aX: -3.12m/s2  aY: 4.37m/s2  aZ: 8.42m/s2 
 H: 88.63deg  R: -21.69deg  P: -22.44deg  aX: -3.22m/s2  aY: 3.91m/s2  aZ: 8.38m/s2 
 H: 88.69deg  R: -21.75deg  P: -22.13deg  aX: -3.93m/s2  aY: 3.55m/s2  aZ: 8.53m/s2 
 H: 88.75deg  R: -21.75deg  P: -21.88deg  aX: -3.86m/s2  aY: 3.06m/s2  aZ: 7.96m/s2 
 H: 88.81deg  R: -21.69deg  P: -21.56deg  aX: -3.37m/s2  aY: 3.06m/s2  aZ: 8.58m/s2 
 H: 88.81deg  R: -21.50deg  P: -21.31deg  aX: -3.00m/s2  aY: 3.43m/s2  aZ: 8.73m/s2 
 H: 88.94deg  R: -21.44deg  P: -20.94deg  aX: -3.37m/s2  aY: 2.82m/s2  aZ: 8.19m/s2 
 H: 89.06deg  R: -21.44deg  P: -20.69deg  aX: -3.42m/s2  aY: 3.09m/s2  aZ: 8.44m/s2 
 H: 89.19deg  R: -21.50deg  P: -20.44deg  aX: -3.48m/s2  aY: 3.15m/s2  aZ: 8.25m/s2 
 H: 89.38deg  R: -21.50deg  P: -20.25deg  aX: -3.74m/s2  aY: 3.25m/s2  aZ: 8.28m/s2 
 H: 89.50deg  R: -21.38deg  P: -20.13deg  aX: -3.36m/s2  aY: 3.17m/s2  aZ: 8.28m/s2 
 H: 89.69deg  R: -21.38deg  P: -19.94deg  aX: -3.01m/s2  aY: 3.10m/s2  aZ: 8.41m/s2 
 H: 89.81deg  R: -21.38deg  P: -19.88deg  aX: -3.33m/s2  aY: 3.35m/s2  aZ: 8.52m/s2 
 H: 90.00deg  R: -21.44deg  P: -19.75deg  aX: -3.39m/s2  aY: 3.23m/s2  aZ: 8.15m/s2 
 H: 90.13deg  R: -21.31deg  P: -19.69deg  aX: -2.95m/s2  aY: 2.68m/s2  aZ: 8.13m/s2 
 H: 90.13deg  R: -21.13deg  P: -19.63deg  aX: -2.87m/s2  aY: 2.81m/s2  aZ: 8.70m/s2 
 H: 90.38deg  R: -21.00deg  P: -19.50deg  aX: -3.48m/s2  aY: 3.32m/s2  aZ: 8.90m/s2 
 H: 90.69deg  R: -20.94deg  P: -19.38deg  aX: -2.88m/s2  aY: 2.96m/s2  aZ: 8.80m/s2 
 H: 90.81deg  R: -20.81deg  P: -19.31deg  aX: -3.28m/s2  aY: 3.32m/s2  aZ: 9.49m/s2 
 H: 91.00deg  R: -20.81deg  P: -19.31deg  aX: -2.97m/s2  aY: 3.47m/s2  aZ: 8.32m/s2 
 H: 91.19deg  R: -20.81deg  P: -19.19deg  aX: -3.53m/s2  aY: 2.81m/s2  aZ: 8.94m/s2 
 H: 91.38deg  R: -20.81deg  P: -19.13deg  aX: -3.39m/s2  aY: 2.68m/s2  aZ: 8.78m/s2 
 H: 91.50deg  R: -20.75deg  P: -19.13deg  aX: -3.29m/s2  aY: 2.87m/s2  aZ: 8.53m/s2 
 H: 91.69deg  R: -20.75deg  P: -19.06deg  aX: -3.67m/s2  aY: 3.13m/s2  aZ: 8.56m/s2 
 H: 91.69deg  R: -20.69deg  P: -19.06deg  aX: -2.86m/s2  aY: 3.15m/s2  aZ: 8.98m/s2 
 H: 91.75deg  R: -20.63deg  P: -19.06deg  aX: -3.49m/s2  aY: 3.13m/s2  aZ: 8.60m/s2 
 H: 91.75deg  R: -20.63deg  P: -19.06deg  aX: -3.23m/s2  aY: 2.94m/s2  aZ: 8.69m/s2 
 H: 91.75deg  R: -20.63deg  P: -19.00deg  aX: -3.34m/s2  aY: 3.01m/s2  aZ: 8.67m/s2 
 H: 91.75deg  R: -20.56deg  P: -19.06deg  aX: -3.33m/s2  aY: 2.66m/s2  aZ: 8.42m/s2 
 H: 91.75deg  R: -20.50deg  P: -19.00deg  aX: -3.16m/s2  aY: 3.00m/s2  aZ: 8.90m/s2 
 H: 91.69deg  R: -20.44deg  P: -19.00deg  aX: -2.76m/s2  aY: 3.05m/s2  aZ: 8.90m/s2 
 H: 91.75deg  R: -20.50deg  P: -18.94deg  aX: -3.60m/s2  aY: 2.89m/s2  aZ: 8.79m/s2 
 H: 91.75deg  R: -20.56deg  P: -18.94deg  aX: -3.54m/s2  aY: 3.25m/s2  aZ: 8.87m/s2 
 H: 91.69deg  R: -20.50deg  P: -18.88deg  aX: -3.27m/s2  aY: 3.31m/s2  aZ: 8.77m/s2 
 H: 91.69deg  R: -20.50deg  P: -18.88deg  aX: -2.96m/s2  aY: 3.45m/s2  aZ: 8.50m/s2 
 H: 91.69deg  R: -20.56deg  P: -18.81deg  aX: -3.10m/s2  aY: 3.07m/s2  aZ: 8.55m/s2 
 H: 91.75deg  R: -20.63deg  P: -18.69deg  aX: -3.08m/s2  aY: 3.01m/s2  aZ: 8.47m/s2 
 H: 91.81deg  R: -20.63deg  P: -18.63deg  aX: -3.34m/s2  aY: 3.09m/s2  aZ: 8.76m/s2 
 H: 91.88deg  R: -20.63deg  P: -18.56deg  aX: -3.40m/s2  aY: 3.45m/s2  aZ: 9.07m/s2 
 H: 91.94deg  R: -20.56deg  P: -18.50deg  aX: -3.01m/s2  aY: 3.19m/s2  aZ: 8.34m/s2 
 H: 91.94deg  R: -20.44deg  P: -18.38deg  aX: -2.80m/s2  aY: 2.81m/s2  aZ: 8.70m/s2 
 H: 92.00deg  R: -20.44deg  P: -18.19deg  aX: -2.70m/s2  aY: 2.64m/s2  aZ: 8.64m/s2 
 H: 91.94deg  R: -20.44deg  P: -18.13deg  aX: -2.74m/s2  aY: 2.76m/s2  aZ: 8.24m/s2 
 H: 91.88deg  R: -20.44deg  P: -18.13deg  aX: -2.97m/s2  aY: 3.41m/s2  aZ: 8.30m/s2 
 H: 91.56deg  R: -20.19deg  P: -18.13deg  aX: -3.25m/s2  aY: 3.20m/s2  aZ: 8.61m/s2 
 H: 91.44deg  R: -19.94deg  P: -18.06deg  aX: -3.09m/s2  aY: 3.25m/s2  aZ: 8.58m/s2 
 H: 91.31deg  R: -19.75deg  P: -18.13deg  aX: -3.15m/s2  aY: 3.19m/s2  aZ: 8.63m/s2 
 H: 91.25deg  R: -19.63deg  P: -18.00deg  aX: -3.49m/s2  aY: 3.07m/s2  aZ: 8.87m/s2 
 H: 91.31deg  R: -19.69deg  P: -18.00deg  aX: -3.35m/s2  aY: 2.80m/s2  aZ: 8.62m/s2 
 H: 91.44deg  R: -19.69deg  P: -17.94deg  aX: -3.50m/s2  aY: 2.73m/s2  aZ: 8.75m/s2 
 H: 91.56deg  R: -19.75deg  P: -17.88deg  aX: -3.43m/s2  aY: 2.68m/s2  aZ: 8.56m/s2 
 H: 91.63deg  R: -19.81deg  P: -17.88deg  aX: -3.30m/s2  aY: 2.72m/s2  aZ: 8.86m/s2 
 H: 91.75deg  R: -19.81deg  P: -17.81deg  aX: -3.67m/s2  aY: 2.75m/s2  aZ: 9.22m/s2 
