 H: 148.81deg  R: 20.00deg  P: -79.63deg  aX: 3.38m/s2  aY: 8.94m/s2  aZ: 1.42m/s2 
 H: 148.81deg  R: 20.00deg  P: -79.63deg  aX: 3.09m/s2  aY: 9.04m/s2  aZ: 1.45m/s2 
 H: 148.75deg  R: 20.00deg  P: -79.63deg  aX: 3.20m/s2  aY: 9.10m/s2  aZ: 1.65m/s2 
 H: 148.81deg  R: 20.00deg  P: -79.63deg  aX: 3.33m/s2  aY: 8.93m/s2  aZ: 1.88m/s2 
 H: 148.88deg  R: 19.94deg  P: -79.63deg  aX: 3.36m/s2  aY: 8.94m/s2  aZ: 1.86m/s2 
 H: 148.88deg  R: 19.94deg  P: -79.56deg  aX: 3.31m/s2  aY: 8.90m/s2  aZ: 1.84m/s2 
 H: 148.94deg  R: 19.88deg  P: -79.50deg  aX: 3.24m/s2  aY: 8.94m/s2  aZ: 1.78m/s2 
 H: 148.88deg  R: 19.88deg  P: -79.50deg  aX: 3.39m/s2  aY: 9.00m/s2  aZ: 1.82m/s2 
 H: 148.81deg  R: 19.88deg  P: -79.44deg  aX: 3.18m/s2  aY: 8.92m/s2  aZ: 1.69m/s2 
 H: 148.75deg  R: 19.81deg  P: -79.44deg  aX: 2.97m/s2  aY: 8.95m/s2  aZ: 1.57m/s2 
 H: 148.75deg  R: 19.81deg  P: -79.38deg  aX: 3.32m/s2  aY: 9.04m/s2  aZ: 1.35m/s2 
 H: 148.75deg  R: 19.81deg  P: -79.38deg  aX: 3.68m/s2  aY: 8.96m/s2  aZ: 1.47m/s2 
 H: 148.69deg  R: 19.81deg  P: -79.38deg  aX: 3.62m/s2  aY: 8.91m/s2  aZ: 1.50m/s2 
 H: 148.69deg  R: 19.81deg  P: -79.31deg  aX: 3.09m/s2  aY: 8.91m/s2  aZ: 1.44m/s2 
 H: 148.56deg  R: 19.81deg  P: -79.31deg  aX: 2.97m/s2  aY: 9.01m/s2  aZ: 1.55m/s2 
 H: 148.56deg  R: 19.75deg  P: -79.25deg  aX: 3.23m/s2  aY: 9.04m/s2  aZ: 1.82m/s2 
 H: 148.50deg  R: 19.75deg  P: -79.25deg  aX: 3.47m/s2  aY: 8.91m/s2  aZ: 2.00m/s2 
 H: 148.38deg  R: 19.75deg  P: -79.19deg  aX: 3.35m/s2  aY: 8.78m/s2  aZ: 1.98m/s2 
 H: 148.31deg  R: 19.75deg  P: -79.13deg  aX: 3.04m/s2  aY: 8.81m/s2  aZ: 1.95m/s2 
 H: 148.31deg  R: 19.69deg  P: -79.13deg  aX: 2.87m/s2  aY: 8.90m/s2  aZ: 2.01m/s2 
 H: 148.31deg  R: 19.69deg  P: -79.13deg  aX: 3.08m/s2  aY: 9.04m/s2  aZ: 1.96m/s2 
 H: 148.31deg  R: 19.69deg  P: -79.13deg  aX: 2.95m/s2  aY: 8.97m/s2  aZ: 1.90m/s2 
 H: 148.38deg  R: 19.63deg  P: -79.13deg  aX: 3.25m/s2  aY: 8.85m/s2  aZ: 1.73m/s2 
