2m/s2  aY: -9.77m/s2  aZ: -0.85m/s2 
 H: 286.38deg  R: -0.81deg  P: 94.50deg  aX: -0.34m/s2  aY: -9.89m/s2  aZ: -0.92m/s2 
 H: 286.44deg  R: -0.88deg  P: 94.50deg  aX: -0.36m/s2  aY: -10.03m/s2  aZ: -0.85m/s2 
 H: 286.44deg  R: -0.88deg  P: 94.50deg  aX: -0.35m/s2  aY: -9.97m/s2  aZ: -0.72m/s2 
 H: 286.38deg  R: -0.81deg  P: 94.44deg  aX: -0.30m/s2  aY: -9.76m/s2  aZ: -0.78m/s2 
 H: 286.31deg  R: -0.81deg  P: 94.50deg  aX: -0.16m/s2  aY: -10.01m/s2  aZ: -0.88m/s2 
 H: 286.31deg  R: -0.81deg  P: 94.50deg  aX: 0.00m/s2  aY: -9.89m/s2  aZ: -0.72m/s2 
 H: 286.31deg  R: -0.81deg  P: 94.44deg  aX: 0.00m/s2  aY: -9.93m/s2  aZ: -0.74m/s2 
 H: 286.31deg  R: -0.81deg  P: 94.44deg  aX: -0.05m/s2  aY: -9.89m/s2  aZ: -0.91m/s2 
 H: 286.44deg  R: -0.81deg  P: 94.44deg  aX: -0.11m/s2  aY: -10.01m/s2  aZ: -1.02m/s2 
 H: 286.50deg  R: -0.81deg  P: 94.38deg  aX: -0.41m/s2  aY: -9.83m/s2  aZ: -0.75m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.31deg  aX: -0.48m/s2  aY: -9.69m/s2  aZ: -1.05m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.38deg  aX: -0.37m/s2  aY: -9.86m/s2  aZ: -1.03m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.44deg  aX: -0.15m/s2  aY: -10.11m/s2  aZ: -0.69m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.38deg  aX: -0.10m/s2  aY: -10.15m/s2  aZ: -0.68m/s2 
 H: 286.63deg  R: -0.88deg  P: 94.31deg  aX: -0.01m/s2  aY: -9.85m/s2  aZ: -0.82m/s2 
 H: 286.63deg  R: -0.88deg  P: 94.25deg  aX: -0.27m/s2  aY: -9.70m/s2  aZ: -0.91m/s2 
 H: 286.63deg  R: -0.88deg  P: 94.31deg  aX: -0.54m/s2  aY: -9.76m/s2  aZ: -1.18m/s2 
 H: 286.69deg  R: -0.88deg  P: 94.31deg  aX: -0.23m/s2  aY: -9.80m/s2  aZ: -1.01m/s2 
 H: 286.63deg  R: -0.88deg  P: 94.38deg  aX: 0.00m/s2  aY: -9.90m/s2  aZ: -0.72m/s2 
 H: 286.56deg  R: -0.81deg  P: 94.38deg  aX: -0.05m/s2  aY: -10.16m/s2  aZ: -0.46m/s2 
 H: 286.56deg  R: -0.88deg  P: 94.38deg  aX: -0.22m/s2  aY: -9.93m/s2  aZ: -0.52m/s2 
 H: 286.50deg  R: -0.94deg  P: 94.38deg  aX: -0.33m/s2  aY: -9.93m/s2  aZ: -0.79m/s2 
 H: 286.44deg  R: -0.94deg  P: 94.44deg  aX: -0.46m/s2  aY: -9.49m/s2  aZ: -1.16m/s2 
 H: 286.44deg  R: -0.94deg  P: 94.44deg  aX: -0.39m/s2  aY: -9.62m/s2  aZ: -1.12m/s2 
 H: 286.38deg  R: -0.94deg  P: 94.50deg  aX: -0.03m/s2  aY: -10.25m/s2  aZ: -0.72m/s2 
 H: 286.25deg  R: -0.88deg  P: 94.44deg  aX: 0.14m/s2  aY: -10.10m/s2  aZ: -0.86m/s2 
 H: 286.13deg  R: -0.88deg  P: 94.31deg  aX: -0.04m/s2  aY: -9.34m/s2  aZ: -1.11m/s2 
 H: 286.13deg  R: -0.94deg  P: 94.38deg  aX: -0.35m/s2  aY: -9.32m/s2  aZ: -1.44m/s2 
 H: 286.25deg  R: -0.94deg  P: 94.50deg  aX: -0.47m/s2  aY: -10.11m/s2  aZ: -0.55m/s2 
 H: 286.25deg  R: -0.94deg  P: 94.50deg  aX: -0.17m/s2  aY: -10.39m/s2  aZ: -0.42m/s2 
 H: 286.19deg  R: -0.94deg  P: 94.44deg  aX: -0.08m/s2  aY: -10.24m/s2  aZ: -0.50m/s2 
 H: 286.19deg  R: -0.88deg  P: 94.38deg  aX: -0.33m/s2  aY: -9.75m/s2  aZ: -0.83m/s2 
 H: 286.19deg  R: -0.94deg  P: 94.38deg  aX: -0.48m/s2  aY: -9.34m/s2  aZ: -1.29m/s2 
 H: 286.25deg  R: -1.00deg  P: 94.44deg  aX: -0.30m/s2  aY: -9.81m/s2  aZ: -1.11m/s2 
 H: 286.31deg  R: -1.00deg  P: 94.44deg  aX: -0.21m/s2  aY: -10.29m/s2  aZ: -0.59m/s2 
 H: 286.25deg  R: -0.94deg  P: 94.31deg  aX: -0.10m/s2  aY: -9.94m/s2  aZ: -0.65m/s2 
 H: 286.25deg  R: -0.88deg  P: 94.25deg  aX: -0.22m/s2  aY: -9.70m/s2  aZ: -1.03m/s2 
 H: 286.31deg  R: -1.00deg  P: 94.38deg  aX: -0.47m/s2  aY: -10.10m/s2  aZ: -0.99m/s2 
 H: 286.38deg  R: -1.00deg  P: 94.38deg  aX: -0.39m/s2  aY: -9.87m/s2  aZ: -0.75m/s2 
 H: 286.38deg  R: -1.00deg  P: 94.25deg  aX: -0.18m/s2  aY: -9.65m/s2  aZ: -0.70m/s2 
 H: 286.31deg  R: -0.94deg  P: 94.25deg  aX: -0.14m/s2  aY: -9.59m/s2  aZ: -0.73m/s2 
 H: 286.31deg  R: -0.94deg  P: 94.31deg  aX: -0.10m/s2  aY: -10.01m/s2  aZ: -0.68m/s2 
 H: 286.38deg  R: -1.00deg  P: 94.31deg  aX: -0.48m/s2  aY: -10.04m/s2  aZ: -0.72m/s2 
 H: 286.31deg  R: -1.00deg  P: 94.31deg  aX: -0.56m/s2  aY: -9.96m/s2  aZ: -0.77m/s2 
 H: 286.25deg  R: -0.94deg  P: 94.25deg  aX: -0.24m/s2  aY: -9.76m/s2  aZ: -0.90m/s2 
 H: 286.19deg  R: -0.88deg  P: 94.25deg  aX: -0.11m/s2  aY: -9.71m/s2  aZ: -0.74m/s2 
 H: 286.19deg  R: -0.88deg  P: 94.25deg  aX: -0.24m/s2  aY: -9.96m/s2  aZ: -0.97m/s2 
 H: 286.19deg  R: -0.94deg  P: 94.25deg  aX: -0.29m/s2  aY: -9.84m/s2  aZ: -1.07m/s2 
 H: 286.13deg  R: -1.00deg  P: 94.31deg  aX: -0.40m/s2  aY: -9.92m/s2  aZ: -0.99m/s2 
 H: 286.06deg  R: -1.00deg  P: 94.38deg  aX: -0.48m/s2  aY: -9.99m/s2  aZ: -0.76m/s2 
 H: 286.13deg  R: -1.00deg  P: 94.38deg  aX: -0.32m/s2  aY: -9.93m/s2  aZ: -0.74m/s2 
 H: 286.13deg  R: -1.00deg  P: 94.31deg  aX: 0.01m/s2  aY: -9.74m/s2  aZ: -0.82m/s2 
 H: 286.19deg  R: -1.00deg  P: 94.38deg  aX: -0.30m/s2  aY: -9.82m/s2  aZ: -0.65m/s2 
 H: 286.13deg  R: -1.00deg  P: 94.44deg  aX: -0.54m/s2  aY: -10.14m/s2  aZ: -0.50m/s2 
 H: 286.13deg  R: -1.00deg  P: 94.50deg  aX: -0.41m/s2  aY: -10.11m/s2  aZ: -0.76m/s2 
 H: 286.13deg  R: -1.00deg  P: 94.44deg  aX: -0.20m/s2  aY: -9.72m/s2  aZ: -1.03m/s2 
 H: 286.19deg  R: -0.94deg  P: 94.44deg  aX: -0.08m/s2  aY: -9.67m/s2  aZ: -1.21m/s2 
 H: 286.19deg  R: -0.94deg  P: 94.38deg  aX: -0.02m/s2  aY: -9.71m/s2  aZ: -1.09m/s2 
 H: 286.19deg  R: -0.94deg  P: 94.44deg  aX: -0.19m/s2  aY: -10.06m/s2  aZ: -0.84m/s2 
 H: 286.19deg  R: -0.94deg  P: 94.50deg  aX: -0.16m/s2  aY: -9.80m/s2  aZ: -0.89m/s2 
 H: 286.25deg  R: -0.94deg  P: 94.50deg  aX: -0.24m/s2  aY: -9.75m/s2  aZ: -0.87m/s2 
 H: 286.25deg  R: -1.00deg  P: 94.56deg  aX: -0.44m/s2  aY: -9.85m/s2  aZ: -0.94m/s2 
 H: 286.25deg  R: -1.00deg  P: 94.63deg  aX: -0.36m/s2  aY: -9.96m/s2  aZ: -0.81m/s2 
 H: 286.25deg  R: -1.00deg  P: 94.63deg  aX: -0.32m/s2  aY: -10.19m/s2  aZ: -0.55m/s2 
 H: 286.25deg  R: -1.00deg  P: 94.63deg  aX: -0.23m/s2  aY: -9.87m/s2  aZ: -0.67m/s2 
 H: 286.25deg  R: -0.94deg  P: 94.56deg  aX: -0.16m/s2  aY: -9.68m/s2  aZ: -0.69m/s2 
 H: 286.19deg  R: -0.94deg  P: 94.56deg  aX: -0.02m/s2  aY: -9.44m/s2  aZ: -1.10m/s2 
 H: 286.25deg  R: -1.00deg  P: 94.63deg  aX: -0.05m/s2  aY: -10.09m/s2  aZ: -1.10m/s2 
 H: 286.25deg  R: -1.00deg  P: 94.75deg  aX: -0.08m/s2  aY: -10.25m/s2  aZ: -1.04m/s2 
 H: 286.25deg  R: -1.00deg  P: 94.75deg  aX: -0.17m/s2  aY: -9.97m/s2  aZ: -0.69m/s2 
 H: 286.31deg  R: -0.94deg  P: 94.69deg  aX: -0.29m/s2  aY: -9.85m/s2  aZ: -0.67m/s2 
 H: 286.38deg  R: -0.94deg  P: 94.69deg  aX: -0.43m/s2  aY: -9.74m/s2  aZ: -0.80m/s2 
 H: 286.38deg  R: -1.00deg  P: 94.69deg  aX: -0.34m/s2  aY: -9.70m/s2  aZ: -1.03m/s2 
 H: 286.38deg  R: -1.00deg  P: 94.63deg  aX: -0.25m/s2  aY: -9.79m/s2  aZ: -0.86m/s2 
