 H: 141.44deg  R: 0.00deg  P: 51.88deg  aX: 0.00m/s2  aY: -7.86m/s2  aZ: 5.95m/s2 
 H: 141.44deg  R: 0.00deg  P: 51.88deg  aX: 0.06m/s2  aY: -7.82m/s2  aZ: 5.96m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.81deg  aX: -0.03m/s2  aY: -7.82m/s2  aZ: 5.98m/s2 
 H: 141.38deg  R: 0.00deg  P: 51.81deg  aX: 0.03m/s2  aY: -7.75m/s2  aZ: 5.92m/s2 
 H: 141.31deg  R: -0.06deg  P: 51.75deg  aX: -0.12m/s2  aY: -7.84m/s2  aZ: 5.97m/s2 
 H: 141.25deg  R: -0.06deg  P: 51.75deg  aX: -0.07m/s2  aY: -7.78m/s2  aZ: 6.06m/s2 
 H: 141.19deg  R: -0.06deg  P: 51.69deg  aX: -0.01m/s2  aY: -7.70m/s2  aZ: 6.04m/s2 
 H: 141.19deg  R: -0.06deg  P: 51.63deg  aX: 0.01m/s2  aY: -7.64m/s2  aZ: 6.06m/s2 
 H: 141.19deg  R: -0.06deg  P: 51.63deg  aX: 0.04m/s2  aY: -7.62m/s2  aZ: 6.09m/s2 
 H: 141.19deg  R: -0.06deg  P: 51.63deg  aX: -0.04m/s2  aY: -7.72m/s2  aZ: 6.07m/s2 
