 H: 297.44deg  R: 5.13deg  P: 102.81deg  aX: 1.10m/s2  aY: -10.04m/s2  aZ: -2.23m/s2 
 H: 297.50deg  R: 5.19deg  P: 102.88deg  aX: 0.91m/s2  aY: -9.82m/s2  aZ: -2.04m/s2 
 H: 297.50deg  R: 5.19deg  P: 103.00deg  aX: 1.07m/s2  aY: -9.68m/s2  aZ: -2.15m/s2 
 H: 297.50deg  R: 5.13deg  P: 103.13deg  aX: 1.03m/s2  aY: -9.94m/s2  aZ: -1.95m/s2 
 H: 297.44deg  R: 5.13deg  P: 103.19deg  aX: 1.08m/s2  aY: -10.31m/s2  aZ: -2.23m/s2 
 H: 297.25deg  R: 5.06deg  P: 103.31deg  aX: 0.94m/s2  aY: -9.76m/s2  aZ: -2.29m/s2 
 H: 297.13deg  R: 5.00deg  P: 103.44deg  aX: 0.71m/s2  aY: -9.62m/s2  aZ: -2.37m/s2 
 H: 297.06deg  R: 5.00deg  P: 103.50deg  aX: 0.91m/s2  aY: -9.80m/s2  aZ: -2.54m/s2 
 H: 297.00deg  R: 4.94deg  P: 103.56deg  aX: 0.80m/s2  aY: -9.80m/s2  aZ: -2.33m/s2 
 H: 296.88deg  R: 4.94deg  P: 103.63deg  aX: 1.02m/s2  aY: -9.75m/s2  aZ: -2.22m/s2 
 H: 296.81deg  R: 4.94deg  P: 103.69deg  aX: 1.09m/s2  aY: -10.10m/s2  aZ: -2.25m/s2 
 H: 296.81deg  R: 4.94deg  P: 103.69deg  aX: 0.87m/s2  aY: -9.81m/s2  aZ: -2.34m/s2 
 H: 296.75deg  R: 4.94deg  P: 103.75deg  aX: 1.30m/s2  aY: -9.67m/s2  aZ: -2.07m/s2 
 H: 296.81deg  R: 5.00deg  P: 103.75deg  aX: 1.07m/s2  aY: -9.61m/s2  aZ: -2.06m/s2 
 H: 296.94deg  R: 5.13deg  P: 103.81deg  aX: 0.90m/s2  aY: -9.87m/s2  aZ: -1.98m/s2 
 H: 297.63deg  R: 5.56deg  P: 103.94deg  aX: 1.27m/s2  aY: -10.18m/s2  aZ: -2.70m/s2 
 H: 297.56deg  R: 5.63deg  P: 103.94deg  aX: 0.72m/s2  aY: -9.86m/s2  aZ: -2.62m/s2 
 H: 297.19deg  R: 5.56deg  P: 103.94deg  aX: 1.13m/s2  aY: -9.49m/s2  aZ: -2.49m/s2 
 H: 296.81deg  R: 5.50deg  P: 103.88deg  aX: 0.40m/s2  aY: -9.78m/s2  aZ: -2.68m/s2 
 H: 296.69deg  R: 5.44deg  P: 103.88deg  aX: 0.44m/s2  aY: -9.95m/s2  aZ: -2.57m/s2 
 H: 296.38deg  R: 5.31deg  P: 103.88deg  aX: 1.82m/s2  aY: -9.26m/s2  aZ: -2.16m/s2 
 H: 296.25deg  R: 5.25deg  P: 103.81deg  aX: 0.92m/s2  aY: -9.95m/s2  aZ: -2.57m/s2 
 H: 296.13deg  R: 5.13deg  P: 103.81deg  aX: 0.81m/s2  aY: -9.72m/s2  aZ: -2.20m/s2 
 H: 295.75deg  R: 4.94deg  P: 103.75deg  aX: 1.31m/s2  aY: -9.40m/s2  aZ: -1.96m/s2 
